Date,Total_Pop,Pop_5_24,Percent_5_24,Median_Age,Male_to_Female_Ratio,Pop_5_24_per1000,RUCA1,Income,Race,NDVI,TAVG,TMIN,TMAX,EHF,RH,Heat_Index,Discomfort_Index,Mental_Health,month,Day,Daily_Difference,TAVG_24hr_diff,TMAX_24hr_diff,TMIN_24hr_diff,Region,log_Total_Pop_per1000
2019-08-12,140723,50559,0.359280288225805,31.7,90.3333333333333,50.559,1,-0.212748982333333,0.265496523,0.493333333333333,25.27,18.8966666666667,31.6366666666667,0,66.19,25.6666666666667,23.2673770333333,6,8,2,12.74,-0.528333333333333,-0.0733333333333333,-0.988333333333333,3,4.94679341913327
2019-08-13,140723,50559,0.359280288225805,31.7,90.3333333333333,50.559,1,-0.212748982333333,0.265496523,0.0433333333333333,26.76,21.2366666666667,32.2766666666667,0,64.1833333333333,28,24.3448044333333,9,8,3,11.04,0.745,0.32,1.17,3,4.94679341913327
2019-08-14,140723,50559,0.359280288225805,31.7,90.3333333333333,50.559,1,-0.212748982333333,0.265496523,0.626666666666667,28.478,22.554,34.41,0,69.906,31.6,26.16437429,8,8,4,11.856,1.036,1.28,0.8,3,4.94679341913327
2019-08-15,140723,50559,0.359280288225805,31.7,90.3333333333333,50.559,1,-0.212748982333333,0.265496523,0.173333333333333,27.9033333333333,22.82,32.9833333333333,0,74.0366666666667,31,25.9893524,4,8,5,10.1633333333333,-0.291666666666667,-0.713333333333333,0.125,3,4.94679341913327
2019-08-16,140723,50559,0.359280288225805,31.7,90.3333333333333,50.559,1,-0.212748982333333,0.265496523,0.01,27.5533333333333,22.9966666666667,32.1133333333333,0,76.7966666666667,30.6666666666667,25.8874977333333,5,8,6,9.11666666666667,-0.175,-0.435,0.0883333333333333,3,4.94679341913327
2019-08-17,140723,50559,0.359280288225805,31.7,90.3333333333333,50.559,1,-0.212748982333333,0.265496523,0.153333333333333,25.2033333333333,22.9866666666667,27.42,0,89.51,26,24.5855570166667,7,8,7,4.43333333333333,-1.175,-2.34666666666667,-0.005,3,4.94679341913327
2019-08-18,140723,50559,0.359280288225805,31.7,90.3333333333333,50.559,1,-0.212748982333333,0.265496523,0.633333333333333,26.3871428571429,22.8271428571429,29.9514285714286,0,81.04,28.4285714285714,25.1473627142857,13,8,1,7.12428571428572,0.395714285714286,0.651428571428571,0.144285714285714,3,4.94679341913327
2019-08-19,140723,50559,0.359280288225805,31.7,90.3333333333333,50.559,1,-0.212748982333333,0.265496523,0.596666666666667,27.6375,23.1875,32.0875,0,78.15,31,26.0587047875,7,8,2,8.9,0.945,1.62,0.2675,3,4.94679341913327
2019-08-20,140723,50559,0.359280288225805,31.7,90.3333333333333,50.559,1,-0.212748982333333,0.265496523,0.623333333333333,28.1028571428571,21.7085714285714,34.4985714285714,0,70.2157142857143,31,25.8745110857143,4,8,3,12.79,0.437142857142857,1.66285714285714,-0.79,3,4.94679341913327
2019-08-21,140723,50559,0.359280288225805,31.7,90.3333333333333,50.559,1,-0.212748982333333,0.265496523,0.35,28.8333333333333,23.7833333333333,33.8766666666667,0,71.7833333333333,33,26.6089311166667,13,8,4,10.0933333333333,0.366666666666667,-0.31,1.03833333333333,3,4.94679341913327
2019-08-22,140723,50559,0.359280288225805,31.7,90.3333333333333,50.559,1,-0.212748982333333,0.265496523,0.133333333333333,27.5433333333333,22.91,32.1783333333333,0,73.7966666666667,30,25.6635754166667,3,8,5,9.26833333333333,-0.746666666666667,-1.23666666666667,-0.25,3,4.94679341913327
2019-08-23,140723,50559,0.359280288225805,31.7,90.3333333333333,50.559,1,-0.212748982333333,0.265496523,0.476666666666667,28.6383333333333,22.6866666666667,34.5916666666667,0,70.06,32,26.3101610583333,4,8,6,11.905,0.733333333333333,1.60666666666667,-0.14,3,4.94679341913327
2019-08-24,140723,50559,0.359280288225805,31.7,90.3333333333333,50.559,1,-0.212748982333333,0.265496523,0.61,26.828,20.416,33.238,0,77.322,29,25.29029548,15,8,7,12.822,-1.068,-0.798,-1.34,3,4.94679341913327
2019-08-25,140723,50559,0.359280288225805,31.7,90.3333333333333,50.559,1,-0.212748982333333,0.265496523,0.47,20.79,18.63,22.9566666666667,0,89.7066666666667,21,20.43380185,11,8,1,4.32666666666667,-3.03,-5.14833333333333,-0.908333333333333,3,4.94679341913327
2019-08-26,140723,50559,0.359280288225805,31.7,90.3333333333333,50.559,1,-0.212748982333333,0.265496523,0.593333333333333,20.8714285714286,17.14,24.6,0,77.3828571428572,21,20.0789291714286,10,8,2,7.46,-1.08142857142857,-0.731428571428571,-1.43571428571429,3,4.94679341913327
2019-08-27,140723,50559,0.359280288225805,31.7,90.3333333333333,50.559,1,-0.212748982333333,0.265496523,0.6,22.54,18.5266666666667,26.55,0,81.7533333333333,23,21.7326766333333,13,8,3,8.02333333333333,0.828333333333333,0.968333333333333,0.688333333333333,3,4.94679341913327
2019-08-28,140723,50559,0.359280288225805,31.7,90.3333333333333,50.559,1,-0.212748982333333,0.265496523,0.583333333333333,24.7314285714286,20.1228571428571,29.3371428571429,0,76.84,25,23.4280954571429,13,8,4,9.21428571428571,1.49714285714286,1.87571428571429,1.11857142857143,3,4.94679341913327
